IndCode,Indicator (EN),Indicateur (FR)
AgrFrPGD,"Agriculture, hunting, forestry, fishing: value added (% of GDP)","Agriculture, chasse, sylviculture, pêche: valeur ajoutée (% du PIB)"
MnIndPGD,"Mining, Manufacturing, Utilities: value added (% of GDP)","Mines, fabrication, services publics: valeur ajoutée (% du PIB)"
CnstrPGD,Construction: value added (% of GDP),Construction: valeur ajoutée (% du PIB)
TrdHsPGD,"Wholesale, retail trade, restaurants and hotels: value added (% of GDP)","Commerce de gros, commerce de détail, restaurants et hôtels: valeur ajoutée (% du PIB)"
TnsCmPGD,"Transport, storage and communication: value added (% of GDP)","Transport, stockage et communication: valeur ajoutée (% du PIB)"
OtherPGD,Other activities: value added (% of GDP),Autres activités: valeur ajoutée (% du PIB)
ManufPGD,Manufacturing (included in industry): value added (% of GDP),Fabrication (incluse dans l'industrie): valeur ajoutée (% du PIB)
TotVAPGD,Total Value Added,Valeur ajoutée totale
AgrEmpPerTot,Employment in agriculture as a % of total,Emploi dans l'agriculture en % du total
IndEmpPerTot,Employment in industry as a % of total,Emploi dans l'industrie en % du total
SrvEmpPerTot,Employment in services as a % of total,Emploi dans les services en % du total
ManfEmpPerTot,Employment in manufacturing (incl. in industry) as a % of total,Emploi dans le secteur manufacturier (y compris dans l'industrie) en % du total
CnsExpPGD,Final consumption expenditure as a % of GDP,Dépense de consommation finale en % du PIB
GFCFPGD,Gross fixed capital formation as a % of GDP,Formation brute de capital fixe en % du PIB
InvChgPGD,Changes in inventories as a % of GDP,Variations des stocks en % du PIB
FrgnBalPGD,Foreign balance as a % of GDP,Balance extérieur en % du PIB
ImpGdsSrvPGD,Imports of goods and services as a % of GDP,Importations de biens et services en % du PIB
ExpGdsSrvPGD,Exports of goods and services as a % of GDP,Exportations de biens et services en % du PIB
CnsExpUSD,"Final consumption expenditure, current prices (millions of USD)","Dépenses de consommation finale, prix courants (millions USD)"
InvChgUSD,"Changes in inventories, current prices (millions of USD)","Variation des stocks, prix courants (millions USD)"
FrgnBalUSD,"Foreign balance, current prices (millions of USD)","Solde extérieur, prix courants (millions USD)"
ImpGdsSrvUSD,"Imports of goods and services, current prices (millions of USD)","Importations de biens et services, prix courants (millions USD)"
ExpGdsSrvUSD,"Exports of goods and services, current prices (millions of USD)","Exportations de biens et services, prix courants (millions USD)"
IIPDILbPsPGD,"Direct investment liabilities, stock as a % of GDP","Passifs d’investissement direct, stock en % du PIB"
BOPDIDebPGD,Direct investment debit/expenditure as a % of GDP,Débit/dépenses d’investissement direct en % du PIB
IIPDIAsPsPGD,"Direct investment assets, stock as a % of GDP","Actifs d’investissement direct, stock en % du PIB"
BOPDICrdPGD,Direct investment credit/revenue as a % of GDP,Crédit/revenus d’investissement direct en % du PIB
IIPDILbPsUSD,"Direct investment liabilities, stock","Passifs d’investissement direct, stock"
BOPDIDebUSD,Direct investment debit/expenditure,Débit/dépenses d’investissement direct
IIPDIAsPsUSD,"Direct investment assets, stock","Actifs d’investissement direct, stock"
BOPDICrdUSD,Direct investment credit/revenue,Crédit/revenus d’investissement direct
ROIDebitLiab,Return on inward direct investment (debits over two-year average liabilities X 100),Rendement des investissements directs entrants (débits divisés par le passif moyen sur deux ans X 100)
ROICredAsset,Return on outward direct investment (credits over two-year average assets X 100),Rendement des investissements directs sortants (crédits divisés par la moyenne des actifs sur deux ans X 100)
UNCTADFDIPGD,Foreign Direct Investment (FDI) inflows as a % of GDP,Entrées d’investissements directs étrangers (IDE) en % du PIB
PortfolioInFlPGD,Portfolio investment inflows as a % of GDP,Entrées des investissements de portefeuille en % du PIB
ODAPGD,Net Official Development Assistance (ODA) inflows as a % of GDP,Entrées nettes d'aide publique au développement (APD) en % du PIB
RemitPGD,Remittances inflows as a % of GDP,Entrées de transferts des migrants en % du PIB
IMFFDIPGD,Foreign Direct Investment (FDI) inflows as a % of GDP - asset/liability IMF data,Entrées d’investissements directs étrangers (IDE) en % du PIB - Données actif/passif du FMI
OtherInFlPGD,Other investment inflows as a % of GDP,Autres entrées d'investissement en % du PIB
UNCTADFDI,Foreign Direct Investment (FDI) inflows (millions of USD),Entrées d’investissements directs étrangers (IDE) (millions de dollars US)
ODA,Net Official Development Assistance (ODA) inflows (millions of USD),Entrées nettes d'aide publique au développement (APD) (millions de dollars US)
Remit,Remittances inflows (millions of USD),Entrées de transferts des migrants (millions de dollars US)
IGOVPGD,General government investment (gross fixed capital formation) as a % of GDP,Investissement des administrations publiques (formation brute de capital fixe) en % du PIB
IPPPPGD,Public-private partnership (PPP) investment as a % of GDP,Investissements dans les partenariats public-privé (PPP) en % du PIB
IPRIVPGD,Private investment (gross fixed capital formation) as a % of GDP,Investissement privé (formation brute de capital fixe) en % du PIB
KGOVPGD,General government capital stock as a % of GDP,Stock de capital des administrations publiques en % du PIB
KPPPPGD,Public-private partnership (PPP) capital stock as a % of GDP,Stock de capital des partenariats public-privé (PPP) en % du PIB
KPRIVPGD,Private capital stock as a % of GDP,Stock de capital privé en % du PIB
IGOVUSD,General government investment (gross fixed capital formation) (millions of USD),Investissement des administrations publiques (formation brute de capital fixe) (millions de dollars US)
IPRIVUSD,Private investment (gross fixed capital formation) (millions of USD),Investissement privé (formation brute de capital fixe) (millions de dollars US)
KGOVUSD,General government capital stock (millions of USD),Stock de capital des administrations publiques (millions de dollars US)
KPPPUSD,Public-private partnership (PPP) capital stock (millions of USD),Stock de capital du partenariat public-privé (PPP) (millions de dollars)
KPRIVUSD,Private capital stock (millions of USD),Stock de capital privé (millions de dollars US)
GovRevPerGDP,General government revenue as a % of GDP,Recettes des administrations publiques en % du PIB
TaxPerGDP,General government taxes as a % of GDP,Impôts des administrations publiques en % du PIB
GovGrantsPerGDP,"General government revenue, grants as a % of GDP","Recettes des administrations publiques, dons en % du PIB"
GovExpendPerGDP,General government expenditure as a % of GDP,Total des dépenses des administrations publiques en % du PIB
GovGrossDebtPerGDP,General government gross debt as a % of GDP,Dette brute des administrations publiques en % du PIB
GovRevUSD,General government revenue (millions of USD),Recettes des administrations publiques (millions de dollars US)
TaxUSD,General government taxes (millions of USD),Impôts des administrations publiques (millions de dollars US)
GovGrantsUSD,"General government revenue, grants (millions of USD)","Recettes des administrations publiques, dons (millions de dollars US)"
GovExpendUSD,General government expenditure (millions of USD),Total des dépenses des administrations publiques (millions de dollars US)
GovGrossDebtUSD,General government gross debt (millions of USD),Dette brute des administrations publiques (millions de dollars US)
WBCWONNWTOW,National comprehensive wealth,Richesse nationale globale
WBCWONCNSTNWTOW,National comprehensive wealth (constant 2019 USD),Richesse nationale globale (USD constants 2019)
WBCWONPRDEX,Produced capital: excluding urban land,Capital produit : hors terrains urbains
WBCWONCNSTPRDTO,Produced capital: total (constant 2019 USD),Capital produit : total (USD constants 2019)
WBCWONPRDIN,Produced capital: including urban land,Capital produit : incluant terrains urbains
WBCWONNWHCA,Human capital,Capital humain
WBCWONCNSTNWHCA,Human capital (constant 2019 USD),Capital humain (USD constants 2019)
WBCWONTOTL,Renewable capital: total,Capital renouvelable : total
WBCWONCNSTTOTL,Renewable capital: total (constant 2019 USD),Capital renouvelable : total (USD constants 2019)
WBCWONFTIM,Renewable capital: timber,Capital renouvelable : bois
WBCWONCNSTFTIM,Renewable capital: timber (constant 2019 USD),Capital renouvelable : bois (USD constants 2019)
WBCWONFSTC,"Renewable capital: forest recreation, hunting and fishing services","Capital renouvelable : services de loisirs forestiers, chasse et pêche"
WBCWONCNSTFSTC,"Renewable capital: forest recreation, hunting and fishing services (constant 2019 USD)","Capital renouvelable : services de loisirs forestiers, chasse et pêche (USD constants 2019)"
WBCWONFSTP,Renewable capital: nonwood forest protection ecosystem services,Capital renouvelable : services écosystémiques de protection forestière non ligneuse
WBCWONCNSTFSTP,Renewable capital: nonwood forest protection ecosystem services (constant 2019 USD),Capital renouvelable : services écosystémiques de protection forestière non ligneuse (USD constants 2019)
WBCWONFSTW,Renewable capital: forest water ecosystem services,Capital renouvelable : services écosystémiques liés à l’eau forestière
WBCWONCNSTFSTW,Renewable capital: forest water ecosystem services (constant 2019 USD),Capital renouvelable : services écosystémiques liés à l’eau forestière (USD constants 2019)
WBCWONMANG,Renewable capital: mangroves,Capital renouvelable : mangroves
WBCWONCNSTMANG,Renewable capital: mangroves (constant 2019 USD),Capital renouvelable : mangroves (USD constants 2019)
WBCWONFISH,Renewable capital: fisheries,Capital renouvelable : pêcheries
WBCWONCNSTFISH,Renewable capital: fisheries (constant 2019 USD),Capital renouvelable : pêcheries (USD constants 2019)
WBCWONAGRI,Renewable capital: agricultural land,Capital renouvelable : terres agricoles
WBCWONCNSTAGRI,Renewable capital: agricultural land (constant 2019 USD),Capital renouvelable : terres agricoles (USD constants 2019)
WBCWONCROP,Renewable capital: agricultural land - cropland,Capital renouvelable : terres agricoles - terres cultivées
WBCWONPAST,Renewable capital: agricultural land - pastureland,Capital renouvelable : terres agricoles - pâturages
WBCWONHYDR,Renewable capital: hydropower energy,Capital renouvelable : énergie hydroélectrique
WBCWONCNSTHYDR,Renewable capital: hydropower energy (constant 2019 USD),Capital renouvelable : énergie hydroélectrique (USD constants 2019)
WBCWONSSOI,Nonrenewable capital: total,Capital non renouvelable : total
WBCWONCNSTSSOI,Nonrenewable capital: total (constant 2019 USD),Capital non renouvelable : total (USD constants 2019)
WBCWONSAOI,Nonrenewable capital: oil,Capital non renouvelable : pétrole
WBCWONCNSTSAOI,Nonrenewable capital: oil (constant 2019 USD),Capital non renouvelable : pétrole (USD constants 2019)
WBCWONSAGA,Nonrenewable capital: natural gas,Capital non renouvelable : gaz naturel
WBCWONCNSTSAGA,Nonrenewable capital: natural gas (constant 2019 USD),Capital non renouvelable : gaz naturel (USD constants 2019)
WBCWONSACO,Nonrenewable capital: coal,Capital non renouvelable : charbon
WBCWONCNSTSACO,Nonrenewable capital: coal (constant 2019 USD),Capital non renouvelable : charbon (USD constants 2019)
WBCWONMINR,Nonrenewable capital: metals and mineralssub-indextotal,#N/A
WBCWONCNSTMINR,Nonrenewable capital: metals and mineralssub-indextotal (constant 2019 USD),#N/A
WBCWONMBAU,Nonrenewable capital: metals and minerals - bauxite,Capital non renouvelable : métaux et minéraux - bauxite
WBCWONCNSTMBAU,Nonrenewable capital: metals and minerals - bauxite (constant 2019 USD),Capital non renouvelable : métaux et minéraux - bauxite (USD constants 2019)
WBCWONMCOB,Nonrenewable capital: metals and minerals - cobalt,Capital non renouvelable : métaux et minéraux - cobalt
WBCWONCNSTMCOB,Nonrenewable capital: metals and minerals - cobalt (constant 2019 USD),Capital non renouvelable : métaux et minéraux - cobalt (USD constants 2019)
WBCWONMCOP,Nonrenewable capital: metals and minerals - copper,Capital non renouvelable : métaux et minéraux - cuivre
WBCWONCNSTMCOP,Nonrenewable capital: metals and minerals - copper (constant 2019 USD),Capital non renouvelable : métaux et minéraux - cuivre (USD constants 2019)
WBCWONMGOL,Nonrenewable capital: metals and minerals - gold,Capital non renouvelable : métaux et minéraux - or
WBCWONCNSTMGOL,Nonrenewable capital: metals and minerals - gold (constant 2019 USD),Capital non renouvelable : métaux et minéraux - or (USD constants 2019)
WBCWONMIRO,Nonrenewable capital: metals and minerals - iron ore,Capital non renouvelable : métaux et minéraux - minerai de fer
WBCWONCNSTMIRO,Nonrenewable capital: metals and minerals - iron ore (constant 2019 USD),Capital non renouvelable : métaux et minéraux - minerai de fer (USD constants 2019)
WBCWONMLEA,Nonrenewable capital: metals and minerals - lead,Capital non renouvelable : métaux et minéraux - plomb
WBCWONCNSTMLEA,Nonrenewable capital: metals and minerals - lead (constant 2019 USD),Capital non renouvelable : métaux et minéraux - plomb (USD constants 2019)
WBCWONMLIT,Nonrenewable capital: metals and minerals - lithium,Capital non renouvelable : métaux et minéraux - lithium
WBCWONCNSTMLIT,Nonrenewable capital: metals and minerals - lithium (constant 2019 USD),Capital non renouvelable : métaux et minéraux - lithium (USD constants 2019)
WBCWONMMOL,Nonrenewable capital: metals and minerals - molybdenum,Capital non renouvelable : métaux et minéraux - molybdène
WBCWONCNSTMMOL,Nonrenewable capital: metals and minerals - molybdenum (constant 2019 USD),Capital non renouvelable : métaux et minéraux - molybdène (USD constants 2019)
WBCWONMNIC,Nonrenewable capital: metals and minerals - nickel,Capital non renouvelable : métaux et minéraux - nickel
WBCWONCNSTMNIC,Nonrenewable capital: metals and minerals - nickel (constant 2019 USD),Capital non renouvelable : métaux et minéraux - nickel (USD constants 2019)
WBCWONMPHO,Nonrenewable capital: metals and minerals - phosphate,Capital non renouvelable : métaux et minéraux - phosphate
WBCWONCNSTMPHO,Nonrenewable capital: metals and minerals - phosphate (constant 2019 USD),Capital non renouvelable : métaux et minéraux - phosphate (USD constants 2019)
WBCWONMSIL,Nonrenewable capital: metals and minerals - silver,Capital non renouvelable : métaux et minéraux - argent
WBCWONCNSTMSIL,Nonrenewable capital: metals and minerals - silver (constant 2019 USD),Capital non renouvelable : métaux et minéraux - argent (USD constants 2019)
WBCWONMTIN,Nonrenewable capital: metals and minerals - tin,Capital non renouvelable : métaux et minéraux - étain
WBCWONCNSTMTIN,Nonrenewable capital: metals and minerals - tin (constant 2019 USD),Capital non renouvelable : métaux et minéraux - étain (USD constants 2019)
WBCWONMZIN,Nonrenewable capital: metals and minerals - zinc,Capital non renouvelable : métaux et minéraux - zinc
WBCWONCNSTMZIN,Nonrenewable capital: metals and minerals - zinc (constant 2019 USD),Capital non renouvelable : métaux et minéraux - zinc (USD constants 2019)
WBCWONNWNFA,Foreign assets,Actifs étrangers
WBCWONCNSTNWNFA,Foreign assets (constant 2019 USD),Actifs étrangers (USD constants 2019)
WBCWONNWNFL,Foreign liabilities,Passifs étrangers
WBCWONCNSTNWNFL,Foreign liabilities (constant 2019 USD),Passifs étrangers (USD constants 2019)
WBCWONNWDOW,Domestic comprehensive wealth index,Indice de richesse nationale globale
WBCWONCNSTNWDOW,Domestic comprehensive wealth index (constant 2019 USD),Indice de richesse nationale globale (USD constants 2019)
CountryArea,Country Area (thousands of ha),Superficie (milliers d'ha)
LandArea,Land area (thousands of ha),Superficie des terres (milliers d'ha)
ArtSurf,Artificial surfaces (including urban and associated areas) (thousands of ha),"Surfaces artificielles, y compris les zones urbaines et associées (milliers d'ha)"
AgricLand,Agricultural land (thousands of ha),Terres agricoles (milliers d'ha)
CropLand,Cropland (thousands of ha),Terres cultivées (milliers d'ha)
ArabLand,Arable land (thousands of ha),Terres arables (milliers d'ha)
ForestLand,Forest land (thousands of ha),Terres forestières (milliers d'ha)
CarbStock,"Carbon stock in living biomass (forests, millions of tonnes)","Stock de carbone dans la biomasse vivante (forêts, millions de tonnes)"
CrbStckChg,Carbon stock change in forests - kilotonnes of CO2 equivalent net emissions/removals,Variation des stocks de carbone dans les forêts - émissions/absoptions nettes en kilotonnes d'équivalent CO2
GFCFUSD,"Gross fixed capital formation, current prices (millions of USD)","Formation brute de capital fixe, prix courants (millions USD)"
ENVPDNMABPAR,"Ambient particulate matter, premature deaths","Particules dans l'air ambiant, décés prématurés"
ENVPDPMABPAR,"Ambient particulate matter, premature deaths (per million population)","Particules dans l'air ambiant, décés prématurés (par million d'habitants)"
ENVPDPTABPAR,"Ambient particulate matter, premature deaths (% of total)","Particules dans l'air ambiant, décés prématurés (% du total)"
ENVWFPCABPAR,"Ambient particulate matter, welfare cost of premature deaths (USD per capita)","Particules dans l'air ambiant, coûts en bien-être des décés prématurés (dollars US par habitant)"
ENVWFPGABPAR,"Ambient particulate matter, welfare cost of premature deaths (% of GDP)","Particules dans l'air ambiant, coûts en bien-être des décés prématurés (% of GDP)"
ENVWFPTABPAR,"Ambient particulate matter, welfare cost of premature deaths (% of total)","Particules dans l'air ambiant, coûts en bien-être des décés prématurés (% du total)"
ENVPDNMHHAIR,"HH air pollution (solid fuels), premature deaths","Pollution de l'air des ménages (combustibles solides), décés prématurés"
ENVPDPTHHAIR,"HH air pollution (solid fuels), premature deaths (% of total)","Pollution de l'air des ménages (combustibles solides), décés prématurés (% du total)"
ENVPDPMHHAIR,"HH air pollution (solid fuels), premature deaths (per million population)","Pollution de l'air des ménages (combustibles solides), décés prématurés (par million d'habitants)"
ENVWFPGHHAIR,"HH air pollution (solid fuels), welfare cost of premature deaths (% of GDP)","Pollution de l'air des ménages (combustibles solides), coûts en bien-être des décés prématurés (% of GDP)"
ENVWFPTHHAIR,"HH air pollution (solid fuels), welfare cost of premature deaths (% of total)","Pollution de l'air des ménages (combustibles solides), coûts en bien-être des décés prématurés (% du total)"
ENVWFPCHHAIR,"HH air pollution (solid fuels), welfare cost of premature deaths (USD per capita)","Pollution de l'air des ménages (combustibles solides), coûts en bien-être des décés prématurés (dollars US par habitant)"
ENVPDPMOCCAR,"Occupational carcinogens, premature deaths (per million population)","Cancérigens présents au travail, décés prématurés (par million d'habitants)"
ENVPDPMAMBOZ,"Ambient Ozone, premature deaths (per million population)","Ozone troposphérique, décés prématurés (par million d'habitants)"
ENVPDPMHGTMP,"High temperature, premature deaths (per million population)","Température élevée, décés prématurés (par million d'habitants)"
ENVPDPMHGRMT,"Diet high in red meat, premature deaths (per million population)","Alimentation riche en viande rouge, décés prématurés (par million d'habitants)"
ENVPDPMLWTMP,"Low temperature, premature deaths (per million population)","Basse température, décés prématurés (par million d'habitants)"
ENVPDPMHGPMT,"Diet high in processed meat, premature deaths (per million population)","Alimentation riche en viande transformée<, décés prématurés (par million d'habitants)"
ENVPDPMLEAD,"Lead, premature deaths (per million population)","Plomb, décés prématurés (par million d'habitants)"
ENVPDPMHDWSH,"Handwashing facilities, premature deaths (per million population)","Installations de lavage des mains, décés prématurés (par million d'habitants)"
ENVPDPMOCPAR,"Occupational air pollution, premature deaths (per million population)","Pollution de l'air présente au travail, décés prématurés (par million d'habitants)"
ENVPDPMSHSMK,"Second-hand smoke, premature deaths (per million population)","Tabagisme passif, décés prématurés (par million d'habitants)"
ENVPDPMRSRAD,"Residential radon, premature deaths (per million population)","Radon domestique, décés prématurés (par million d'habitants)"
ENVPDPMUSFWT,"Unsafe water source, premature deaths (per million population)","Source d'eau insalubre, décés prématurés (par million d'habitants)"
ENVPDPMUSFST,"Unsafe sanitation, premature deaths (per million population)","Assainissement dangereux, décés prématurés (par million d'habitants)"
GHGSctAgric,GHG emissions from agriculture,Émissions de GES provenant de l’agriculture
GHGSctBldng,GHG emissions from buildings,Émissions de GES provenant des bâtiments
GHGSctFlExp,GHG emissions from fuel exploitation,Émissions de GES provenant de l’exploitation des combustibles
GHGSctIndCb,GHG emissions from industrial combustion,Émissions de GES provenant de la combustion industrielle
GHGSctPower,GHG emissions from power and heat plants,Émissions de GES provenant des centrales électriques et thermiques
GHGSctPrcss,GHG emissions from industrial processes,Émissions de GES provenant des procédés industriels
GHGSctTrnsp,GHG emissions from mobile combustion,Émissions de GES provenant de la combustion mobile
GHGSctWaste,GHG emissions from waste disposal,Émissions de GES provenant de l’élimination des déchets
GHGSctTotal,GHG emissions from all sectors,Émissions de GES provenant de tous les secteurs
ElecAccPop,Population with access to electricity (thousands),Population ayant accès à l'électricité (milliers)
ElecAccUrbPop,Urban population with access to electricity (thousands),Population urbaine ayant accès à l'électricité (milliers)
ElecAccRurPop,Rural population with access to electricity (thousands),Population rurale ayant accès à l'électricité (milliers)
ElecAccPct,Percentage of population with access to electricity,Pourcentage de la population ayant accès à l'électricité
ElecAccUrbPct,Percentage of urban population with access to electricity,Pourcentage de la population urbaine ayant accès à l'électricité
ElecAccRurPct,Percentage of rural population with access to electricity,Pourcentage de la population rurale ayant accès à l'électricité
PUBFINSOLAR,Public flows into solar power in millions of 2020 USD,Flux publics vers l'énergie solaire en millions de dollars US de 2020
PUBFINWIND,Public flows into wind power in millions of 2020 USD,Flux publics vers l'énergie éolienne en millions de dollars US de 2020
PUBFINGEO,Public flows into geothermal energy in millions of 2020 USD,Flux publics vers l'énergie géothermique en millions de dollars US de 2020
PUBFINHYDRO,Public flows into renewable hydropower in millions of 2020 USD,Flux publics vers l'hydroélectricité renouvelable en millions de dollars US de 2020
PUBFINBIOF,Public flows into biofuels in millions of 2020 USD,Flux publics vers les biocarburants en millions de dollars US de 2020
PUBFINOTHREN,Public flows into renewable energy n.e.s. in millions of 2020 USD,Flux publics vers les énergies renouvelables n.d.a. en millions de dollars US de 2020
PUBFINPUMP,Public flows into pumped storage in millions of 2022 USD,Flux publics vers le stockage par pompage en millions USD 2022
PUBFINNUCL,Public flows into nuclear power in millions of 2020 USD,Flux publics vers le nucléaire en millions de dollars US de 2020
PUBFINFOSS,Public flows into fossil fuels in millions of 2020 USD,Flux publics vers les combustibles fossiles en millions de dollars US de 2020
ELECCAPSOLAR,Installed electricity capacity from solar power in megawatts (MW),Capacité installée d'électricité solaire en mégawatts (MW)
ELECCAPWIND,Installed electricity capacity from wind power in megawatts (MW),Capacité installée d'électricité éolienne en mégawatts (MW)
ELECCAPGEO,Installed electricity capacity from geothermal energy in megawatts (MW),Capacité installée d'électricité géothermique en mégawatts (MW)
